id,name,percent,species_id:id,group_id:id
1971,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,446,17
1972,Mobili e macchine ordinarie d'ufficio 12% ,,446,17
1973,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,446,17
1974,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,446,17
1975,"Autovetture, motoveicoli e simili 25% ",,446,17
1976,Fabbricati destinati all'industria 3% ,,447,17
1977,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,447,17
1978,Gasometri 9% ,,447,17
1979,Impianti generici (compresi quelli di miscelazione metano) 8% ,,447,17
1980,Impianti di produzione e filtrazione 10% ,,447,17
1981,Condutture 5% ,,447,17
1982,Attrezzatura varia e minuta - Apparecchi di misura e controllo 10% ,,447,17
1983,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,447,17
1984,Mobili e macchine ordinarie d'ufficio 12% ,,447,17
1985,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,447,17
1986,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi si trasporto interno, ecc) 20% ",,447,17
1987,"Autovetture, motoveicoli e simili 25% ",,447,17
1988,"Fabbricati destinati all'industria 5,5% ",,448,17
1989,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,448,17
1990,Pozzi di estrazione e pertinenze 15% ,,448,17
1991,Serbatoi (vasche di contenimento)5% ,,448,17
1992,Metanodotti:,,448,17
1993,Condotte dorsali per trasporto e grandi distanze dei centri di produzione10% ,,448,17
1994,Condotte dorsali per trasporto a grandi distanze dai giacimenti gassoso-acquiferi; condotte di derivazione e di allacciamento 12% ,,448,17
1995,Stazione di compressione e pompaggio 10% ,,448,17
1996,Condotte per usi civili (reti urbane)8% ,,448,17
1997,Attrezzatura varia e minuta - Apparecchi di misura e controllo e bombole10% ,,448,17
1998,"Impianti destinati al trattamento ed al depuramento delle acque, fumi nocivi, ecc mediante impiego di reagenti chimici 15% ",,448,17
1999,Mobili e macchine ordinarie d'ufficio 12% ,,448,17
2000,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,448,17
2001,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,448,17
2002,"Autovetture, motoveicoli e simili 25% ",,448,17
2003,"Fabbricati destinati all'industria 3,5% ",,449,17
2004,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,449,17
2005,"Opere idrauliche fisse 2,5% ",,449,17
2006,Serbatoi4% ,,449,17
2007,Impianti di filtrazione 8% ,,449,17
2008,Condutture 5% ,,449,17
2009,Impianti di sollevamento 12% ,,449,17
2010,Attrezzatura varia e minuta - Apparecchi di misura e controllo laboratori 10% ,,449,17
2011,Mobili e macchine ordinarie d'ufficio 12% ,,449,17
2012,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,449,17
2013,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,449,17
2014,"Autovetture, motoveicoli e simili 25% ",,449,17
2015,Stabilimenti in muratura6% ,,450,17
2016,Stabilimenti in legno 20% ,,450,17
2017,"Attrezzatura da spiaggia (ombrelloni, sedie, tende)30% ",,450,17
2018,Natanti e galleggianti12% ,,450,17
2019,Mobili e macchine ordinarie d'ufficio 12% ,,450,17
2020,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,450,17
2021,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,450,17
2022,"Autovetture, motoveicoli e simili 25% ",,450,17
2024,Fabbricati destinati all'industria 4% ,,451,17
2025,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,451,17
2026,Opere idrauliche fisse e pozzi di estrazione e loro pertinenze 2% ,,451,17
2027,Serbatoi 5% ,,451,17
2028,"Impianti di filtrazione e di imbottigliamento 12,5% ",,451,17
2029,Condutture 8% ,,451,17
2030,Impianti di sollevamento e macchinari in genere10% ,,451,17
2031,Attrezzatura varia e minuta e di laboratorio 20% ,,451,17
2032,Biancheria 40% ,,451,17
2033,Mobili e macchine ordinarie d'ufficio 12% ,,451,17
2034,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,451,17
2035,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,451,17
2036,"Autovetture, motoveicoli e simili 25% ",,451,17
2037,"Piste, moli e terreni ad essi adibiti 1% ",,452,18
2038,Fabbricati destinati all'industria (edifici d'aeroporto e portuali) 4% ,,452,18
2039,Opere d'arte fisse 4% ,,452,18
2040,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,452,18
2041,Aereo completo di equipaggiamento (compreso motore a terra e salvo norme a parte in relazione ad esigenze di sicurezza) 14% ,,452,18
2042,Nave passeggeri 10% ,,452,18
2043,Nave da carico cisterna o frigorifera 10% ,,452,18
2044,Nave da carico per carico secco 9% ,,452,18
2045,"Nave per navigazione interna in acciaio ferro - Ferry boat - Rimorchiatore - Naviglio fermo 7,5% ",,452,18
2046,"Nave per navigazione interna in legno - Barconi, chiatte pontoni e lance 9% ",,452,18
2047,"Apparecchi di segnalazione in genere, attrezzature di pista - Servizio carburanti 31,5% ",,452,18
2048,"Impianti e mezzi di carico, scarico, sollevamento e trasporto (a terra) 10% ",,452,18
2049,Mobili e macchine ordinarie d'ufficio 12% ,,452,18
2050,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,452,18
2051,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",,452,18
2052,"Autovetture, motoveicoli e simili 25% ",,452,18
2053,Contenitori di grandi dimensioni in metallo o materiale plastico 15% ,,452,18
2054,Aliscafi 13% ,,452,18
2055,"Navi gia' in esercizio per almeno due quadrienni di classe, acquistate per l'impiego nell'ulteriore durata residua 15% ",,452,18
2056,Terreni adibiti alle linee e servizi ferroviari 1% ,,453,18
2057,Fabbricati destinati all'industria 4% ,,453,18
2058,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",,453,18
2059,"Opere d'arte fisse (ponti, viadotti, gallerie) 4% ",,453,18
2060,"Altre opere d'arte11,5% ",,453,18
2061,Pali metallici 5% ,,453,18
2062,"Binari (rotaie, traverse, morsetterie)10% ",,453,18
2063,Motrici in genere 10% ,,453,18
2064,"Materiale rotabile, ferroviario e tramviario (motrici escluse) 7,5% ",,453,18
2065,"Materiale mobile - Impianti a cavo e filoviario (filobus, funivie, teleferiche, ascensori, slittovie) 15% ",,453,18
2066,Officina meccanica 10% ,,453,18
2067,"Attrezzatura varia e minuta - Mobili e macchine ordinarie di ufficio, di stazione e dei reparti accessori 12% ",,453,18
2068,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,,453,18
