id,code,name
121,133000,"Finissaggio dei tessili, degli articoli di vestiario e attività similari"
122,139100,Fabbricazione di tessuti a maglia
123,139210,"Confezionamento di biancheria da letto, da tavola e per l'arredamento"
124,139220,Fabbricazione di articoli in materie tessili nca
125,139300,Fabbricazione di tappeti e moquette
126,139400,"Fabbricazione di spago, corde, funi e reti"
127,139500,Fabbricazione di tessuti non tessuti e di articoli in tali materie (esclusi gli articoli di abbigliamento)
128,139610,"Fabbricazione di nastri, etichette e passamanerie di fibre tessili"
129,139620,Fabbricazione di altri articoli tessili tecnici ed industriali
130,139910,Fabbricazione di ricami
131,139920,"Fabbricazione di tulle, pizzi e merletti"
132,139990,Fabbricazione di feltro e articoli tessili diversi
133,141100,Confezione di abbigliamento in pelle e similpelle
134,141200,"Confezione di camici, divise ed altri indumenti da lavoro"
135,141310,Confezione in serie di abbigliamento esterno
136,141320,Sartoria e confezione su misura di abbigliamento esterno
137,141400,"Confezione di camicie, T-shirt, corsetteria e altra biancheria intima"
138,141910,Confezioni varie e accessori per l'abbigliamento
139,141921,Fabbricazione di calzature realizzate in materiale tessile senza suole applicate
140,141929,Confezioni di abbigliamento sportivo o di altri indumenti particolari
141,142000,Confezione di articoli in pelliccia
142,143100,Fabbricazione di articoli di calzetteria in maglia
143,143900,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia"
144,151100,Preparazione e concia del cuoio e pelle
145,151201,Fabbricazione di frustini e scudisci per equitazione
146,151209,"Fabbricazione di altri articoli da viaggio, borse e simili, pelletteria e selleria"
147,152010,Fabbricazione di calzature
148,152020,Fabbricazione di parti in cuoio per calzature
149,161000,Taglio e piallatura del legno
150,162100,Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno
151,162200,Fabbricazione di pavimenti in parquet assemblato
152,162310,Fabbricazione di porte e finestre in legno (escluse porte blindate)
153,162320,Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia
154,162400,Fabbricazione di imballaggi in legno
155,162911,Fabbricazione di parti in legno per calzature
156,162912,"Fabbricazione di manici di ombrelli, bastoni e simili"
157,162919,Fabbricazione di altri prodotti vari in legno (esclusi i mobili)
158,162920,Fabbricazione dei prodotti della lavorazione del sughero
159,162930,Fabbricazione di articoli in paglia e materiali da intreccio
160,162940,Laboratori di corniciai
161,171100,Fabbricazione di pasta-carta
162,171200,Fabbricazione di carta e cartone
163,172100,Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata)
164,172200,Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa
165,172301,Fabbricazione di prodotti cartotecnici scolastici e commerciali quando l'attività di stampa non è la principale caratteristica
166,172309,Fabbricazione di altri prodotti cartotecnici
167,172400,Fabbricazione di carta da parati
168,172900,Fabbricazione di altri articoli di carta e cartone
169,181100,Stampa di giornali
170,181200,Altra stampa
171,181300,Lavorazioni preliminari alla stampa e ai media
172,181400,Legatoria e servizi connessi
173,182000,Riproduzione di supporti registrati
174,191001,Fabbricazione di pece e coke di pece
175,191009,Fabbricazione di altri prodotti di cokeria
176,192010,Raffinerie di petrolio
177,192020,Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica)
178,192030,Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento
179,192040,"Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale"
180,192090,Fabbricazione di altri prodotti petroliferi raffinati
181,201100,Fabbricazione di gas industriali
182,201200,Fabbricazione di coloranti e pigmenti
183,201301,Fabbricazione di uranio e torio arricchito
184,201309,Fabbricazione di altri prodotti chimici di base inorganici
185,201401,Fabbricazione di alcol etilico da materiali fermentati
186,201409,Fabbricazione di altri prodotti chimici di base organici nca
187,201500,Fabbricazione di fertilizzanti e composti azotati (esclusa la fabbricazione di compost)
188,201600,Fabbricazione di materie plastiche in forme primarie
189,201700,Fabbricazione di gomma sintetica in forme primarie
190,202000,Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura (esclusi i concimi)
191,203000,"Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici (mastici)"
192,204110,"Fabbricazione di saponi, detergenti e di agenti organici tensioattivi (esclusi i prodotti per toletta)"
193,204120,Fabbricazione di specialità chimiche per uso domestico e per manutenzione
194,204200,"Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili"
195,205101,Fabbricazione di fiammiferi
196,205102,Fabbricazione di articoli esplosivi
197,205200,Fabbricazione di colle
198,205300,Fabbricazione di oli essenziali
199,205910,Fabbricazione di prodotti chimici per uso fotografico
200,205920,Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali
201,205930,Trattamento chimico degli acidi grassi
202,205940,Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e antigelo)
203,205950,Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale
204,205960,Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio
205,205970,"Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici"
206,205990,Fabbricazione di altri prodotti chimici nca
207,206000,Fabbricazione di fibre sintetiche e artificiali
208,211000,Fabbricazione di prodotti farmaceutici di base
209,212001,Fabbricazione di sostanze diagnostiche radioattive in vivo
210,212009,Fabbricazione di medicinali ed altri preparati farmaceutici
211,221110,Fabbricazione di pneumatici e di camere d'aria
212,221120,Rigenerazione e ricostruzione di pneumatici
213,221901,Fabbricazione di suole di gomma e altre parti in gomma per calzature
214,221909,Fabbricazione di altri prodotti in gomma nca
215,222100,"Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche"
216,222200,Fabbricazione di imballaggi in materie plastiche
217,222301,"Fabbricazione di rivestimenti elastici per pavimenti (vinile, linoleum eccetera)"
218,222302,"Fabbricazione di porte, finestre, intelaiature eccetera in plastica per l'edilizia"
219,222309,Fabbricazione di altri articoli in plastica per l'edilizia
220,222901,Fabbricazione di parti in plastica per calzature
221,222902,Fabbricazione di oggetti per l'ufficio e la scuola in plastica
222,222909,Fabbricazione di altri articoli in materie plastiche nca
223,231100,Fabbricazione di vetro piano
224,231200,Lavorazione e trasformazione del vetro piano
225,231300,Fabbricazione di vetro cavo
226,231400,Fabbricazione di fibre di vetro
227,231910,"Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia"
228,231920,Lavorazione di vetro a mano e a soffio artistico
229,231990,Fabbricazione di altri prodotti in vetro (inclusa la vetreria tecnica)
230,232000,Fabbricazione di prodotti refrattari
231,233100,Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti
232,233200,"Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta"
233,234100,Fabbricazione di prodotti in ceramica per usi domestici e ornamentali
234,234200,Fabbricazione di articoli sanitari in ceramica
235,234300,Fabbricazione di isolatori e di pezzi isolanti in ceramica
236,234400,Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale
237,234900,Fabbricazione di altri prodotti in ceramica
238,235100,Produzione di cemento
239,235210,Produzione di calce
240,235220,Produzione di gesso
241,236100,Fabbricazione di prodotti in calcestruzzo per l'edilizia
242,236200,Fabbricazione di prodotti in gesso per l'edilizia
243,236300,Produzione di calcestruzzo pronto per l'uso
244,236400,Produzione di malta
245,236500,Fabbricazione di prodotti in fibrocemento
246,236900,"Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento"
247,237010,Segagione e lavorazione delle pietre e del marmo
248,237020,"Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico"
249,237030,Frantumazione di pietre e minerali vari non in connessione con l'estrazione
250,239100,Produzione di prodotti abrasivi
251,239900,Fabbricazione di altri prodotti in minerali non metalliferi nca
252,241000,"Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe"
253,242010,Fabbricazione di tubi e condotti senza saldatura
254,242020,Fabbricazione di tubi e condotti saldati e simili
255,243100,Stiratura a freddo di barre
256,243200,Laminazione a freddo di nastri
257,243301,Fabbricazione di pannelli stratificati in acciaio
258,243302,Profilatura mediante formatura o piegatura a freddo
259,243400,Trafilatura a freddo
260,244100,Produzione di metalli preziosi e semilavorati
261,244200,Produzione di alluminio e semilavorati
262,244300,"Produzione di piombo, zinco e stagno e semilavorati"
263,244400,Produzione di rame e semilavorati
264,244500,Produzione di altri metalli non ferrosi e semilavorati
265,244600,Trattamento dei combustibili nucleari (escluso l'arricchimento di uranio e torio)
266,245100,Fusione di ghisa e produzione di tubi e raccordi in ghisa
267,245200,Fusione di acciaio
268,245300,Fusione di metalli leggeri
269,245400,Fusione di altri metalli non ferrosi
270,251100,Fabbricazione di strutture metalliche e parti assemblate di strutture
271,251210,"Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici"
272,251220,"Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili"
273,252100,Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale
