no_import,default_code,supplier_product_code,COD.ART.PROD.,name,GIAC.,GIAC.MIN.,IMP.,ORD.,PREAS.,U.M.,PRZ.LISTINO,SC. L.1,SC. L.2,SC. L.3,supplier_cost,ALTRI FORN.,RIC. 1,price,IVA,supplier_name,GRUPPO MERCEOLOGICO,MARCA,COD.SC.PROD.,SIGLA PROD.,COD.PROD.,PRODUTTORE,POS.MAG.,MOV.,COD.REP.,REPARTO,COD.SET.,SETTORE,COD.FAM.,FAMIGLIA,LINEA,COD.BARRE,COD.RAGGRUP.,E.C.,DATA INS
,5739,4460140,,FERRO AD U 140X60,0,0,0,0,0,N.,"0,73",0,0,0,"0,73",,30,"0,949",22,CECI SIDERURGICA SRL,,,0,,0,,,S,,,,,,,,,,,17/12/2013
,589,FERROL,,FERRO LAVORATO VALSABBIA B450C,0,0,0,0,0,N.,785,"99,9",0,0,"0,785",,30,"1,0205",22,,,,0,,0,,,S,,,,,,,,,,,31/05/2011
,1337,3005050,,FERRO PIATTO 50X5,0,0,0,0,0,N.,"0,73",0,0,0,"0,73",,30,"0,949",22,CECI SIDERURGICA SRL,,,0,,0,,,S,,,,,,,,,,,21/07/2011
,2853,29572,,FERRO TONDO NERVATO D.16 MT6,0,0,0,0,0,N.,"0,764",0,0,0,"0,764",,30,"0,9932",22,F.LLI SIMONETTI SPA,,,0,,0,,,S,,,,,,,,,,,17/02/2012
,71,29570,,FERRO TONDO NERVATO DIAM. 12 L=6000MM,0,0,0,0,0,N.,"0,754",0,0,0,"0,754",,30,"0,9802",22,F.LLI SIMONETTI SPA,,,0,,0,,,S,,,,,,,,,,,19/04/2011
,70,29568,,FERRO TONDO NERVATO DIAM. 8 L=6000MM,0,0,0,0,0,N.,"0,715",0,0,0,"0,715",,30,"0,9295",22,F.LLI SIMONETTI SPA,,,0,,0,,,S,,,,,,,,,,,19/04/2011
,767,3681M4,,FIB MIN ETNA NON FORATO IN APPOGGIO 600X600,0,0,0,0,0,N.,"3,77984",0,0,0,"3,77984",,30,"4,91379",22,ITALMONT SRL,,,0,,0,,,S,,,,,,,,,,,13/06/2011
,1254,24646180,,FIBRA ABRASIVA PER FORTI INCROSTAZIONI,0,0,0,0,0,N.,"2,88",0,0,0,"2,88",,30,"3,744",22,F.LLI MORETTI,,,0,,0,,,S,,,,,,,,,,,18/07/2011
,2121,770M,,FIBRA MINERALE CORTEGA APPOGGIO 600X600,0,0,0,0,0,N.,"4,54",0,0,0,"4,54",,30,"5,902",22,ITALMONT SRL,,,0,,0,,,S,,,,,,,,,,,26/09/2011
,2142,EUR104341,,FIG 241 G 1X1/2,0,0,0,0,0,N.,"0,69",0,0,0,"0,69",,30,"0,897",22,LA FENICE SRL,,,0,,0,,,S,,,,,,,,,,,29/09/2011
,2143,EUR104329,,FIG 241 G 3/4X1/2,0,0,0,0,0,N.,"0,49",0,0,0,"0,49",,30,"0,637",22,LA FENICE SRL,,,0,,0,,,S,,,,,,,,,,,29/09/2011
,887,1347348000,,"FILETTO DOPPIO NERO 150MM 2""1/2",0,0,0,0,0,N.,"5,45",0,0,0,"5,45",,30,"7,085",22,SACCARIA IDROTERMOSANITARI SRL,,,0,,0,,,S,,,,,,,,,,,16/06/2011
,4456,682299,,"FILO COTTO BIANCO BOBINA D. 0,9MM 4X2",0,0,0,0,0,N.,"0,684",0,0,0,"0,684",,30,"0,8892",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,22/10/2012
,2687,1018159007961,,FILO COTTO IN BOBINE,0,0,0,0,0,N.,1,0,0,0,1,,30,"1,3",22,ROMANO FENATI,,,0,,0,,,S,,,,,,,,,,,20/01/2012
,453,CAG50107,,FILO FE COTTO BIANCO N.5X2 BOBINA GR.330,0,0,0,0,0,N.,"0,684",0,0,0,"0,684",,30,"0,8892",22,G&C INDUSTRIAL PROVIDER SNC,,,0,,0,,,S,,,,,,,,,,,16/05/2011
,5343,00257003,,FILO LOCTITE ROTOLINO 150MT,0,0,0,0,0,N.,"10,35",0,0,0,"10,35",,30,"13,455",22,IMETER SPA,,,0,,0,,,S,,,,,,,,,,,28/08/2013
,2139,773449,,FILO SIGILLA RACCORDI 150MT,0,0,0,0,0,N.,"10,16",0,0,0,"10,16",,30,"13,208",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,28/09/2011
,1954,FZ001,,FILO ZINCATO DIAM. 14,0,0,0,0,0,N.,"2,7",0,0,0,"2,7",,30,"3,51",22,COPIM TECNOLOGIE SRL,,,0,,0,,,S,,,,,,,,,,,09/09/2011
,2217,,,FILTRO  G40 500X570X48,0,0,0,0,0,N.,"7,6",0,0,0,"7,6",,"31,58",10,22,ACFI,,,0,,0,,,S,,,,,,,,,,,12/10/2011
,3367,,,FILTRO 200X230X48,0,0,0,0,0,N.,"4,19",0,0,0,"4,19",,30,"5,447",22,ACFI,,,0,,0,,,S,,,,,,,,,,,19/04/2012
,5718,CFL255X745X12,,FILTRO 255X745X12,0,0,0,0,0,N.,"4,26",0,0,0,"4,26",,30,"5,538",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/12/2013
,5715,CFW40-390X725X48,,FILTRO 390X725X48,0,0,0,0,0,N.,"8,48",0,0,0,"8,48",,30,"11,024",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/12/2013
,5717,CFL485X485X22-A40,,FILTRO 485X485X22-A40,0,0,0,0,0,N.,"5,86",0,0,0,"5,86",,30,"7,618",22,ACFI,,,0,,0,,,S,,,,,,,,,,,04/12/2013
